"year","month","P_ID","PA"
2020,10,65304,3
2020,10,64012,10
2020,10,68204,4
2020,10,66203,6
2020,10,50293,2
2020,10,64213,8
2020,10,62356,3
2020,10,79192,22
2020,10,64469,3
2020,10,60343,28
2020,10,66606,82
2020,10,62907,98
2020,10,66838,71
2020,10,64007,21
2020,10,64610,48
2020,10,76232,90
2020,10,78603,34
2020,10,76290,74
2020,10,63257,13
2020,10,77564,15
2020,10,76313,92
2020,10,64407,8
2020,10,67025,91
2020,10,66614,22
2020,10,66928,13
2020,10,79608,67
2020,10,79402,82
2020,10,72443,84
2020,10,77532,74
2020,10,75566,69
2020,10,62404,88
2020,10,67207,9
2020,10,78217,5
2020,10,66113,10
2020,10,72133,46
2020,10,64100,7
2020,10,71184,6
2020,10,73113,72
2020,10,62802,19
2020,10,64984,61
2020,10,60288,13
2020,10,50707,39
2020,10,65506,39
2020,10,50923,89
2020,10,68050,91
2020,10,78168,80
2020,10,68525,89
2020,10,69209,86
2020,10,66108,92
2020,10,78629,77
2020,10,64300,86
2020,10,65207,15
2020,10,50704,35
2020,10,78513,93
2020,10,74206,65
2020,10,60558,68
2020,10,61186,55
2020,10,69652,87
2020,10,67341,95
2020,10,62700,79
2020,10,79215,81
2020,10,67872,87
2020,10,65399,70
2020,10,79109,86
2020,10,50854,75
2020,10,62947,47
2020,10,62864,49
2020,10,74163,46
2020,10,78288,48
2020,10,76267,76
2020,10,62884,47
2020,10,76802,65
2020,10,61743,12
2020,10,63963,57
2020,10,76753,43
2020,10,61208,43
2020,10,76100,78
2020,10,71564,91
2020,10,67893,21
2020,10,64266,17
2020,10,62025,27
2020,10,67304,86
2020,10,76249,32
2020,10,65898,81
2020,10,78135,44
2020,10,74465,69
2020,10,79231,76
2020,10,64166,90
2020,10,69825,5
2020,10,79150,59
2020,10,62925,64
2020,10,78122,13
2020,10,64499,6
2020,10,62415,85
2020,10,64209,4
2020,10,74729,34
2020,10,65514,7
2020,10,64504,19
2020,10,78548,70
2020,10,61404,61
2020,10,64646,67
2020,10,60523,70
2020,10,62244,62
2020,10,76849,94
2020,10,74540,50
2020,10,64868,60
2020,10,74339,68
2020,10,64657,58
2020,10,64153,54
2020,10,79240,71
2020,10,61353,70
2020,10,50469,83
2020,10,50165,87
2020,10,50506,86
2020,10,65610,15
2020,10,69442,12
2020,10,73136,48
2020,10,61204,9
2020,10,79365,47
2020,10,63634,16
2020,10,75334,79
2020,10,64006,78
2020,10,50350,84
2020,10,75151,24
2020,10,62934,43
2020,10,50458,36
2020,10,50600,39
2020,10,69737,86
2020,10,62265,70
2020,10,62931,85
2020,10,79456,37
2020,10,61700,55
2020,10,65586,69
2020,10,61102,64
2020,10,78224,83
2020,10,66965,13
2020,10,64906,12
2020,10,61566,12
2020,10,50730,86
2020,10,50802,24
2020,10,64704,20
2020,10,71837,39
2020,10,69100,12
2020,10,75808,8
2020,10,62558,63
2020,10,63704,74
2020,10,78756,34
2020,10,68305,21
2020,10,76812,54
2020,10,62895,24
2020,10,64468,34
2020,10,68912,19
2020,10,75847,73
2020,10,77248,12
2020,10,77463,31
2020,10,64004,24
2020,10,63920,16
2020,10,63440,21
2020,10,62556,21
2020,10,68868,11
2020,10,63722,29
2020,10,66354,19
2020,10,68518,12
2020,10,66409,18
2020,10,79290,6
2020,10,50203,0
2020,10,64086,3
2020,10,68211,1
2020,10,66209,5
2020,10,67828,0
2020,10,68346,1
2020,10,62332,2
2020,10,50365,1
2020,10,62353,2
2020,10,65362,7
2020,10,67365,0
2020,10,65398,0
2020,10,63342,0
2020,10,64260,4
2020,10,50848,0
2020,10,69860,NA
2020,10,79847,0
2020,10,66052,5
2020,10,60841,0
2020,10,61895,0
2020,10,50859,0
2020,10,64890,1
2020,10,65869,0
2020,10,63450,3
2020,10,69804,10
2020,10,69104,0
2020,10,50150,0
2020,10,68106,7
2020,10,64115,3
2020,10,79140,0
2020,10,60339,0
2020,10,78813,1
2020,10,76118,0
2020,10,60566,2
2020,10,73306,8
2020,10,69992,3
2020,10,68043,0
2020,10,64014,4
2020,10,63448,0
2020,10,67063,1
2020,10,64724,NA
2020,10,64041,0
2020,10,76757,0
2020,10,67008,0
2020,10,65057,0
2020,10,75340,0
2020,10,50054,4
2020,10,77243,6
2020,10,67005,13
2020,10,63636,0
2020,10,65653,7
2020,10,78643,6
2020,10,69636,9
2020,10,66657,9
2020,10,62893,2
2020,10,62908,4
2020,10,67449,5
2020,10,63435,4
2020,10,69418,0
2020,10,61457,0
2020,10,66707,7
2020,10,65522,0
